nweek,T,days
2.00,13.10,15.00
3.00,13.45,22.00
4.00,12.75,29.00
5.00,15.45,36.00
7.00,14.97,50.00
9.00,15.40,64.00
9.00,13.65,64.00
11.00,15.25,78.00
12.00,14.60,85.00
13.00,14.70,92.00
14.00,14.80,99.00
15.00,15.45,106.00
16.00,15.60,113.00
17.00,16.15,120.00
19.00,15.95,127.00
20.00,16.55,155.00
23.00,16.15,162.00
24.00,17.10,169.00
25.00,15.45,176.00
26.00,15.50,183.00
27.00,15.45,190.00
29.00,15.50,204.00
30.00,15.75,211.00
30.00,15.50,211.00
31.00,15.70,218.00
32.00,15.60,225.00
35.00,15.45,246.00
35.00,15.95,246.00
37.00,14.65,260.00
39.00,15.05,274.00
40.00,14.90,281.00
41.00,14.43,288.00
42.00,14.10,295.00
43.00,13.60,302.00
46.00,13.15,323.00
47.00,12.90,330.00
48.00,12.70,337.00
48.00,12.30,337.00
49.00,12.10,344.00
50.00,11.40,351.00
51.00,11.80,358.00
52.00,11.20,365.00
54.00,10.95,379.00
54.00,10.75,379.00
55.00,10.20,386.00
56.00,9.90,393.00
57.00,9.90,400.00
58.00,9.60,407.00
59.00,9.75,414.00
60.00,9.10,421.00
61.00,9.75,428.00
62.00,9.55,435.00
63.00,9.80,442.00
64.00,9.85,449.00
65.00,10.55,456.00
66.00,10.95,463.00
67.00,11.30,470.00
68.00,11.10,477.00
69.00,10.35,484.00
70.00,11.00,491.00
71.00,11.60,498.00
72.00,11.30,505.00
74.00,11.35,519.00
75.00,11.60,526.00
76.00,11.70,533.00
77.00,12.32,540.00
79.00,12.90,554.00
79.00,12.60,554.00
80.00,12.60,561.00
82.00,13.13,575.00
83.00,14.30,582.00
84.00,14.05,589.00
87.00,13.03,610.00
89.00,13.20,624.00
90.00,14.00,631.00
91.00,13.40,638.00
92.00,13.65,645.00
93.00,13.15,652.00
94.00,11.70,659.00
95.00,13.15,666.00
96.00,12.75,673.00
97.00,12.35,680.00
98.00,12.65,687.00
100.00,13.15,701.00
101.00,12.10,708.00
102.00,12.05,715.00
102.00,12.70,715.00
104.00,12.40,729.00
105.00,13.68,736.00
106.00,11.90,743.00
108.00,13.45,757.00
110.00,12.05,771.00
111.00,11.15,778.00
112.00,12.20,785.00
113.00,11.65,792.00
114.00,12.00,799.00
116.00,13.05,813.00
118.00,13.55,827.00
119.00,13.05,834.00
122.00,13.85,855.00
123.00,13.65,862.00
125.00,14.05,876.00
130.00,14.45,911.00
134.00,14.85,939.00
136.00,15.10,953.00
137.00,14.95,960.00
140.00,14.90,981.00
141.00,14.25,988.00
142.00,14.50,995.00
146.00,14.65,1023.00
147.00,14.55,1030.00
148.00,14.25,1037.00
152.00,13.25,1065.00
154.00,13.00,1079.00
155.00,13.00,1086.00
157.00,13.40,1100.00
162.00,12.05,1135.00
166.00,12.15,1163.00
167.00,12.60,1170.00
168.00,12.30,1177.00
170.00,12.60,1191.00
171.00,12.73,1198.00
173.00,12.85,1212.00
174.00,13.30,1219.00
175.00,15.10,1226.00
176.00,13.85,1233.00
178.00,14.45,1247.00
179.00,14.70,1254.00
183.00,13.45,1282.00
185.00,15.50,1296.00
186.00,14.35,1303.00
187.00,14.90,1310.00
189.00,14.15,1324.00
200.00,14.00,1401.00
201.00,12.77,1408.00
203.00,13.05,1422.00
204.00,12.95,1429.00
206.00,13.95,1443.00
207.00,12.25,1450.00
208.00,12.15,1457.00
209.00,13.40,1464.00
210.00,12.28,1471.00
212.00,12.70,1485.00
214.00,11.97,1499.00
216.00,13.00,1513.00
217.00,12.95,1520.00
219.00,12.95,1534.00
220.00,13.20,1541.00
221.00,13.50,1548.00
223.00,13.90,1562.00
223.00,14.10,1562.00
225.00,14.93,1576.00
227.00,14.45,1590.00
228.00,16.55,1597.00
229.00,14.55,1604.00
230.00,14.50,1611.00
234.00,14.79,1639.00
236.00,14.95,1653.00
237.00,15.05,1660.00
239.00,14.85,1674.00
240.00,15.20,1681.00
241.00,15.10,1688.00
244.00,15.15,1709.00
246.00,14.80,1723.00
247.00,14.50,1730.00
249.00,13.95,1744.00
250.00,13.35,1751.00
252.00,13.38,1765.00
253.00,13.00,1772.00
255.00,12.78,1786.00
257.00,12.30,1800.00
258.00,11.80,1807.00
261.00,10.80,1828.00
263.00,10.10,1842.00
264.00,10.20,1849.00
265.00,9.35,1856.00
267.00,9.85,1870.00
270.00,9.30,1891.00
271.00,9.35,1898.00
272.00,9.85,1905.00
273.00,9.55,1912.00
274.00,10.35,1919.00
275.00,8.80,1926.00
276.00,9.00,1933.00
277.00,9.20,1940.00
278.00,9.40,1947.00
280.00,9.90,1961.00
282.00,10.60,1975.00
283.00,11.30,1982.00
284.00,11.70,1989.00
285.00,12.10,1996.00
286.00,12.50,2003.00
288.00,12.30,2017.00
290.00,12.10,2031.00
