TOTAL TIME ,Temp korr
9,13.1
16,13.3
23,13.8
30,14.8
44,13.7
50,13.7
57,13.9
63,13.8
72,15.5
79,14.8
94,14.6
100,15.4
107,16.1
114,16.7
133,15
140,16.9
161,16
168,16
175,15.4
181,15.3
188,15.2
197,14.8
204,15
209,14.7
217,14.8
223,14.7
239,14.7
245,15.1
255,13.5
267,14.1
274,13.9
283,13.6
287,13.5
294,13.4
301,12.7
316,12.1
323,12.1
330,11.8
336,11.4
343,11.4
357,11.6
372,11
377,11.2
384,10.8
392,10.5
398,10.4
405,9.9
412,9.8
426,10.6
433,10.4
441,11
447,11.1
454,11.3
461,11.1
468,11.3
475,11.1
482,11.2
489,11
497,11.6
503,11.3
512,11.6
519,11.6
526,11.8
534,12.2
539,12
547,12
552,12.6
559,12.6
570,12.6
575,12.7
581,12.6
588,12.9
604,12.1
610,13.7
618,12.3
626,12.8
630,12.9
637,12.8
644,13.2
650,13.6
658,13
665,13.4
671,13.2
679,13
685,13
694,13.9
701,13.3
708,12.9
714,13.5
723,13
730,11.9
736,13.3
742,13
751,12.6
765,12.3
772,12.2
779,12.2
786,11.3
793,12.3
807,12.8
821,13.3
828,12.9
849,15.2
856,13.1
870,13.4
905,14.1
910,14.2
938,14.2
946,14.2
954,14.1
974,14.9
981,14.7
989,14.5
1017,13.6
1024,13.5
1036,13.3
1059,12.7
1072,12.4
1080,12.4
1129,11.9
1158,12.5
1165,13.1
1172,13
1177,12.9
1186,13.6
1193,13.6
1198,14
1206,14.4
1213,14.6
1220,15.1
1228,14.9
1241,14.8
1249,14.7
1290,15.5
1298,14.5
1309,15
1318,14.2
1402,10.8
1408,12.4
1416,11.7
1420,11.3
1428,11.4
1436,11.7
1445,10.4
1451,11
1465,11
1471,11.3
1479,12.2
1485,11.3
1493,11.7
1499,11.3
1508,12.8
1515,13.5
1520,13.3
1528,13.5
1535,13.8
1542,13.9
1548,14.1
1555,14.5
1561,14.7
1570,15.2
1584,15
1591,16.4
1599,15.1
1606,14.9
1633,16
1633,15
1637,16
1647,15.1
1654,15.2
1660,15.3
1667,15
1674,15.2
1681,14.8
1703,14.4
1717,14.2
1724,13.6
1738,13.1
1744,12.9
1750,12.7
1759,12.4
1764,12.3
1771,12.3
1780,12.1
1786,12
1794,11.8
1802,11.5
1823,10.9
1843,10.3
1849,9.8
1855,9.9
1864,10.1
1884,10.4
1893,10.5
1899,10.8
1906,11
1913,11.7
