nweek,T,days
3.000000000000000000e+00,1.359999999999999964e+01,2.200000000000000000e+01
4.000000000000000000e+00,1.169999999999999929e+01,2.900000000000000000e+01
5.000000000000000000e+00,1.610000000000000142e+01,3.600000000000000000e+01
7.000000000000000000e+00,1.625000000000000000e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.689999999999999858e+01,6.400000000000000000e+01
9.000000000000000000e+00,1.350000000000000000e+01,6.400000000000000000e+01
1.100000000000000000e+01,1.500000000000000000e+01,7.800000000000000000e+01
1.200000000000000000e+01,1.440000000000000036e+01,8.500000000000000000e+01
1.300000000000000000e+01,1.469999999999999929e+01,9.200000000000000000e+01
1.400000000000000000e+01,1.500000000000000000e+01,9.900000000000000000e+01
1.500000000000000000e+01,1.550000000000000000e+01,1.060000000000000000e+02
1.600000000000000000e+01,1.509999999999999964e+01,1.130000000000000000e+02
1.700000000000000000e+01,1.559999999999999964e+01,1.200000000000000000e+02
1.800000000000000000e+01,1.689999999999999858e+01,1.270000000000000000e+02
2.200000000000000000e+01,1.619999999999999929e+01,1.550000000000000000e+02
2.300000000000000000e+01,1.630000000000000071e+01,1.620000000000000000e+02
2.400000000000000000e+01,1.819999999999999929e+01,1.690000000000000000e+02
2.500000000000000000e+01,1.550000000000000000e+01,1.760000000000000000e+02
2.600000000000000000e+01,1.569999999999999929e+01,1.830000000000000000e+02
2.700000000000000000e+01,1.569999999999999929e+01,1.900000000000000000e+02
2.900000000000000000e+01,1.619999999999999929e+01,2.040000000000000000e+02
3.000000000000000000e+01,1.650000000000000000e+01,2.110000000000000000e+02
3.000000000000000000e+01,1.630000000000000071e+01,2.110000000000000000e+02
3.100000000000000000e+01,1.660000000000000142e+01,2.180000000000000000e+02
3.200000000000000000e+01,1.650000000000000000e+01,2.250000000000000000e+02
3.500000000000000000e+01,1.619999999999999929e+01,2.460000000000000000e+02
3.500000000000000000e+01,1.680000000000000071e+01,2.460000000000000000e+02
3.700000000000000000e+01,1.580000000000000071e+01,2.600000000000000000e+02
3.900000000000000000e+01,1.600000000000000000e+01,2.740000000000000000e+02
4.000000000000000000e+01,1.590000000000000036e+01,2.810000000000000000e+02
4.100000000000000000e+01,1.530000000000000071e+01,2.880000000000000000e+02
4.200000000000000000e+01,1.480000000000000071e+01,2.950000000000000000e+02
4.300000000000000000e+01,1.450000000000000000e+01,3.020000000000000000e+02
4.600000000000000000e+01,1.419999999999999929e+01,3.230000000000000000e+02
4.700000000000000000e+01,1.369999999999999929e+01,3.300000000000000000e+02
4.800000000000000000e+01,1.359999999999999964e+01,3.370000000000000000e+02
4.800000000000000000e+01,1.319999999999999929e+01,3.370000000000000000e+02
4.900000000000000000e+01,1.280000000000000071e+01,3.440000000000000000e+02
5.000000000000000000e+01,1.140000000000000036e+01,3.510000000000000000e+02
5.100000000000000000e+01,1.200000000000000000e+01,3.580000000000000000e+02
5.200000000000000000e+01,1.119999999999999929e+01,3.650000000000000000e+02
5.400000000000000000e+01,1.090000000000000036e+01,3.790000000000000000e+02
5.400000000000000000e+01,1.030000000000000071e+01,3.790000000000000000e+02
5.500000000000000000e+01,9.599999999999999645e+00,3.860000000000000000e+02
5.600000000000000000e+01,9.300000000000000711e+00,3.930000000000000000e+02
5.700000000000000000e+01,9.400000000000000355e+00,4.000000000000000000e+02
5.800000000000000000e+01,9.300000000000000711e+00,4.070000000000000000e+02
5.900000000000000000e+01,9.699999999999999289e+00,4.140000000000000000e+02
6.000000000000000000e+01,9.099999999999999645e+00,4.210000000000000000e+02
6.100000000000000000e+01,8.900000000000000355e+00,4.280000000000000000e+02
6.200000000000000000e+01,8.699999999999999289e+00,4.350000000000000000e+02
6.300000000000000000e+01,8.599999999999999645e+00,4.420000000000000000e+02
6.400000000000000000e+01,8.599999999999999645e+00,4.490000000000000000e+02
6.500000000000000000e+01,9.800000000000000711e+00,4.560000000000000000e+02
6.600000000000000000e+01,1.080000000000000071e+01,4.630000000000000000e+02
6.900000000000000000e+01,9.500000000000000000e+00,4.840000000000000000e+02
7.400000000000000000e+01,1.109999999999999964e+01,5.190000000000000000e+02
7.600000000000000000e+01,1.159999999999999964e+01,5.330000000000000000e+02
7.700000000000000000e+01,1.255000000000000071e+01,5.400000000000000000e+02
7.900000000000000000e+01,1.380000000000000071e+01,5.540000000000000000e+02
8.200000000000000000e+01,1.359999999999999964e+01,5.750000000000000000e+02
8.300000000000000000e+01,1.600000000000000000e+01,5.820000000000000000e+02
8.400000000000000000e+01,1.519999999999999929e+01,5.890000000000000000e+02
8.700000000000000000e+01,1.315000000000000036e+01,6.100000000000000000e+02
8.900000000000000000e+01,1.409999999999999964e+01,6.240000000000000000e+02
9.000000000000000000e+01,1.515000000000000036e+01,6.310000000000000000e+02
9.100000000000000000e+01,1.400000000000000000e+01,6.380000000000000000e+02
9.200000000000000000e+01,1.409999999999999964e+01,6.450000000000000000e+02
9.300000000000000000e+01,1.269999999999999929e+01,6.520000000000000000e+02
9.400000000000000000e+01,1.040000000000000036e+01,6.590000000000000000e+02
9.500000000000000000e+01,1.290000000000000036e+01,6.660000000000000000e+02
9.600000000000000000e+01,1.230000000000000071e+01,6.730000000000000000e+02
9.700000000000000000e+01,1.169999999999999929e+01,6.800000000000000000e+02
9.800000000000000000e+01,1.230000000000000071e+01,6.870000000000000000e+02
1.000000000000000000e+02,1.240000000000000036e+01,7.010000000000000000e+02
1.010000000000000000e+02,1.090000000000000036e+01,7.080000000000000000e+02
1.020000000000000000e+02,1.119999999999999929e+01,7.150000000000000000e+02
1.020000000000000000e+02,1.190000000000000036e+01,7.150000000000000000e+02
1.040000000000000000e+02,1.180000000000000071e+01,7.290000000000000000e+02
1.050000000000000000e+02,1.475000000000000000e+01,7.360000000000000000e+02
1.060000000000000000e+02,1.080000000000000071e+01,7.430000000000000000e+02
1.080000000000000000e+02,1.430000000000000071e+01,7.570000000000000000e+02
1.100000000000000000e+02,1.180000000000000071e+01,7.710000000000000000e+02
1.110000000000000000e+02,1.009999999999999964e+01,7.780000000000000000e+02
1.120000000000000000e+02,1.219999999999999929e+01,7.850000000000000000e+02
1.130000000000000000e+02,1.200000000000000000e+01,7.920000000000000000e+02
1.140000000000000000e+02,1.169999999999999929e+01,7.990000000000000000e+02
1.160000000000000000e+02,1.330000000000000071e+01,8.130000000000000000e+02
1.180000000000000000e+02,1.380000000000000071e+01,8.270000000000000000e+02
1.190000000000000000e+02,1.319999999999999929e+01,8.340000000000000000e+02
1.220000000000000000e+02,1.250000000000000000e+01,8.550000000000000000e+02
1.230000000000000000e+02,1.419999999999999929e+01,8.620000000000000000e+02
1.250000000000000000e+02,1.469999999999999929e+01,8.760000000000000000e+02
1.300000000000000000e+02,1.475000000000000000e+01,9.110000000000000000e+02
1.340000000000000000e+02,1.550000000000000000e+01,9.390000000000000000e+02
1.360000000000000000e+02,1.600000000000000000e+01,9.530000000000000000e+02
1.370000000000000000e+02,1.580000000000000071e+01,9.600000000000000000e+02
1.410000000000000000e+02,1.380000000000000071e+01,9.880000000000000000e+02
1.460000000000000000e+02,1.569999999999999929e+01,1.023000000000000000e+03
1.470000000000000000e+02,1.559999999999999964e+01,1.030000000000000000e+03
1.480000000000000000e+02,1.519999999999999929e+01,1.037000000000000000e+03
1.520000000000000000e+02,1.380000000000000071e+01,1.065000000000000000e+03
1.540000000000000000e+02,1.359999999999999964e+01,1.079000000000000000e+03
1.550000000000000000e+02,1.359999999999999964e+01,1.086000000000000000e+03
1.570000000000000000e+02,1.340000000000000036e+01,1.100000000000000000e+03
1.620000000000000000e+02,1.219999999999999929e+01,1.135000000000000000e+03
1.660000000000000000e+02,1.180000000000000071e+01,1.163000000000000000e+03
1.670000000000000000e+02,1.209999999999999964e+01,1.170000000000000000e+03
1.680000000000000000e+02,1.165000000000000036e+01,1.177000000000000000e+03
1.700000000000000000e+02,1.159999999999999964e+01,1.191000000000000000e+03
1.710000000000000000e+02,1.165000000000000036e+01,1.198000000000000000e+03
1.730000000000000000e+02,1.130000000000000071e+01,1.212000000000000000e+03
1.740000000000000000e+02,1.200000000000000000e+01,1.219000000000000000e+03
1.760000000000000000e+02,1.280000000000000071e+01,1.233000000000000000e+03
1.780000000000000000e+02,1.409999999999999964e+01,1.247000000000000000e+03
1.830000000000000000e+02,1.344999999999999929e+01,1.282000000000000000e+03
1.860000000000000000e+02,1.419999999999999929e+01,1.303000000000000000e+03
1.870000000000000000e+02,1.480000000000000071e+01,1.310000000000000000e+03
1.890000000000000000e+02,1.409999999999999964e+01,1.324000000000000000e+03
2.000000000000000000e+02,1.400000000000000000e+01,1.401000000000000000e+03
2.010000000000000000e+02,1.394999999999999929e+01,1.408000000000000000e+03
2.030000000000000000e+02,1.459999999999999964e+01,1.422000000000000000e+03
2.040000000000000000e+02,1.450000000000000000e+01,1.429000000000000000e+03
2.060000000000000000e+02,1.619999999999999929e+01,1.443000000000000000e+03
