TOTAL TIME,Temp korr
16,13.6
23,11.7
30,16.1
44,16
50,16.5
57,16.9
63,13.5
72,15
79,14.4
86,14.7
94,15
100,15.5
107,15.1
114,15
120,16.2
126,16.9
154,16.2
161,16.3
168,18.2
175,15.5
181,15.7
188,15.7
197,16.2
204,16.5
209,16.3
217,16.6
223,16.5
239,16.2
245,16.8
255,15.8
267,16
274,15.9
283,15.3
287,15.3
294,14.8
301,14.5
316,14.2
323,13.7
330,13.6
336,13.2
343,12.8
350,11.4
357,12
364,11.2
372,10.9
377,10.3
384,9.6
392,9.3
398,9.4
405,9.3
412,9.7
419,9.1
426,8.9
433,8.7
441,8.6
447,8.6
454,9.8
461,10.8
482,9.5
512,11.1
526,11.6
534,12.5
539,12.6
547,13.8
570,13.6
581,16
588,15.2
604,12.3
610,14
618,14.1
626,14.8
630,15.5
637,14
644,14.1
650,12.7
658,10.4
665,12.9
671,12.3
679,11.7
685,12.3
694,12.4
701,10.9
708,11.2
714,11.9
723,11.8
730,14.3
736,15.2
742,10.8
751,14.3
765,11.8
772,10.1
779,12.2
786,12
793,11.7
807,13.3
821,13.8
828,13.2
849,12.5
856,14.2
870,14.7
905,14.6
910,14.9
938,15.5
946,16
954,15.8
981,13.8
1017,15.7
1024,15.6
1036,15.2
1059,13.8
1072,13.6
1080,13.6
1093,13.4
1129,12.2
1158,11.8
1165,12.1
1172,11.8
1177,11.5
1186,11.6
1193,10.9
1198,12.4
1206,11.3
1213,12
1228,12.8
1241,14.1
1276,13.5
1282,13.4
1298,14.2
1309,14.8
1318,14.1
1395,14
1402,13
1408,14.9
1416,14.5
1420,14.7
1428,14.5
1436,16.2
1445,14.1
1451,13.3
1458,13.4
1465,13.4
1479,14.6
1485,12.7
1493,12.5
1499,12.4
1508,13.2
1515,12.6
1520,12.4
1528,12.4
1535,12.6
1542,13
1548,13
1555,13.3
1561,13.5
1570,14
1576,15.3
1584,13.9
1591,16.7
1599,14
1606,14.1
1633,13.5
1633,14.7
1637,13.5
1647,14.8
1654,14.9
1660,14.8
1667,14.7
1674,15.2
1681,15.4
1703,15.9
1717,15.4
1724,15.4
1738,15
1744,14.8
1750,14
1759,14.5
1764,14.3
1771,13.7
1780,13.7
1786,13.3
1794,12.8
1802,12.1
1823,10.7
1836,10.1
1843,11.3
1849,9.4
1855,8.8
1864,9.6
1884,8.2
1893,8.2
1899,8.9
1906,8.1
1913,9
1921,8.8
1928,9
1939,9.2
1946,9.4
1955,9.8
1960,10
1969,10.6
1977,11.3
1983,11.7
1990,12.1
1997,12.5
2011,12.3
2025,12.1
