MESSDATUM,Days,N4,N5,N6,N7,Avg_5&6,Avg
2005-05-11,1,0,0,0,3204,0,801
2005-05-12,2,0,0,0,3204,0,801
2005-05-13,3,0,0,0,3250,0,812.5
2005-05-14,4,0,0,0,3204,0,801
2005-05-15,5,0,0,0,3204,0,801
2005-05-16,6,0,0,0,3204,0,801
2005-05-17,7,251,313,0,2988,156.5,888
2005-05-18,8,2978,3722,0,0,1861,1675
2005-05-19,9,2978,3722,0,0,1861,1675
2005-05-20,10,2978,3722,0,0,1861,1675
2005-05-21,11,2978,3722,0,0,1861,1675
2005-05-22,12,2978,3722,0,0,1861,1675
2005-05-23,13,3022,3778,0,0,1889,1700
2005-05-24,14,2978,3722,0,0,1861,1675
2005-05-25,15,3034,3792,0,0,1896,1706.5
2005-05-26,16,3029,3786,0,0,1893,1703.75
2005-05-27,17,3020,3775,1258,3272,2516.5,2831.25
2005-05-28,18,2966,3707,3707,3213,3707,3398.25
2005-05-29,19,3017,3771,3771,3269,3771,3457
2005-05-30,20,2995,1872,3744,3245,2808,2964
2005-05-31,21,2967,0,3709,3215,1854.5,2472.75
2005-06-01,22,2967,0,3709,3215,1854.5,2472.75
2005-06-02,23,2967,0,3709,3215,1854.5,2472.75
2005-06-03,24,2945,0,3682,3191,1841,2454.5
2005-06-04,25,2967,0,3709,3215,1854.5,2472.75
2005-06-05,26,2989,0,3736,3238,1868,2490.75
2005-06-06,27,2967,0,3709,3215,1854.5,2472.75
2005-06-07,28,3000,0,3750,0,1875,1687.5
2005-06-08,29,1102,2295,1377,1989,1836,1690.75
2005-06-09,30,0,3688,0,3196,1844,1721
2005-06-10,31,0,3688,0,3196,1844,1721
2005-06-11,32,0,3719,0,3223,1859.5,1735.5
2005-06-12,33,0,3688,0,3196,1844,1721
2005-06-13,34,0,4250,0,3683,2125,1983.25
2005-06-14,35,0,3690,0,3198,1845,1722
2005-06-15,36,0,3714,0,3219,1857,1733.25
2005-06-16,37,0,3690,0,3198,1845,1722
2005-06-17,38,0,3690,0,3198,1845,1722
2005-06-18,39,0,3690,0,3198,1845,1722
2005-06-19,40,0,3690,0,3198,1845,1722
2005-06-20,41,0,3690,0,3198,1845,1722
2005-06-21,42,0,3690,0,3198,1845,1722
2005-06-22,43,0,3667,0,3178,1833.5,1711.25
2005-06-23,44,0,3667,0,3178,1833.5,1711.25
2005-06-24,45,0,3667,0,3178,1833.5,1711.25
2005-06-25,46,0,3690,0,3198,1845,1722
2005-06-26,47,0,3690,0,3198,1845,1722
2005-06-27,48,0,3667,0,3178,1833.5,1711.25
2005-06-28,49,0,3667,0,3178,1833.5,1711.25
2005-06-29,50,0,3667,0,3178,1833.5,1711.25
2005-06-30,51,0,3714,0,3219,1857,1733.25
2005-07-01,52,0,3711,0,3216,1855.5,1731.75
2005-07-02,53,0,3726,0,3229,1863,1738.75
2005-07-03,54,0,3643,0,3157,1821.5,1700
2005-07-04,55,0,3690,0,3198,1845,1722
2005-07-05,56,0,3690,0,3198,1845,1722
2005-07-06,57,0,3690,0,3198,1845,1722
2005-07-07,58,0,1955,0,3128,977.5,1270.75
2005-07-08,59,1724,0,2155,934,1077.5,1203.25
2005-07-09,60,2986,0,3732,1617,1866,2083.75
2005-07-10,61,3011,3763,3763,0,3763,2634.25
2005-07-11,62,3050,3813,3813,0,3813,2669
2005-07-12,63,3017,1571,3771,0,2671,2089.75
2005-07-13,64,3005,626,3756,0,2191,1846.75
2005-07-14,65,3011,0,3763,0,1881.5,1693.5
2005-07-15,66,2968,0,3711,0,1855.5,1669.75
2005-07-16,67,2995,0,3744,0,1872,1684.75
2005-07-17,68,2932,0,3665,0,1832.5,1649.25
2005-07-18,69,2968,0,3711,0,1855.5,1669.75
2005-07-19,70,2989,0,3737,0,1868.5,1681.5
2005-07-20,71,2359,0,1241,0,620.5,900
2005-07-21,72,2870,0,1943,0,971.5,1203.25
2005-07-22,73,3011,0,3763,0,1881.5,1693.5
2005-07-23,74,2989,0,3737,0,1868.5,1681.5
2005-07-24,75,3011,0,3763,0,1881.5,1693.5
2005-07-25,76,3011,0,3763,0,1881.5,1693.5
2005-07-26,77,2968,0,3711,0,1855.5,1669.75
2005-07-27,78,3011,0,3763,0,1881.5,1693.5
2005-07-28,79,2989,0,3737,0,1868.5,1681.5
2005-07-29,80,3032,2211,1579,0,1895,1705.5
2005-07-30,81,3053,3816,0,0,1908,1717.25
2005-07-31,82,3032,3789,0,0,1894.5,1705.25
2005-08-01,83,3030,3787,3472,3009,3629.5,3324.5
2005-08-02,84,3034,3793,3793,3287,3793,3476.75
2005-08-03,85,3034,3793,3793,3287,3793,3476.75
2005-08-04,86,3029,0,3786,0,1893,1703.75
2005-08-05,87,2971,0,3714,0,1857,1671.25
2005-08-06,88,3000,1875,3750,1625,2812.5,2562.5
2005-08-07,89,3000,3750,3750,3250,3750,3437.5
2005-08-08,90,3034,3793,3793,3287,3793,3476.75
2005-08-09,91,3000,3750,3750,3250,3750,3437.5
2005-08-10,92,3017,3771,3771,3269,3771,3457
2005-08-11,93,2983,3729,3729,3231,3729,3418
2005-08-12,94,3017,3771,3771,3269,3771,3457
2005-08-13,95,3017,3771,3771,3269,3771,3457
2005-08-14,96,2983,3729,3729,3231,3729,3418
2005-08-15,97,3017,3771,3771,3269,3771,3457
2005-08-16,98,3000,3750,3750,3250,3750,3437.5
2005-08-17,99,3000,3750,3750,3250,3750,3437.5
2005-08-18,100,3017,3771,3771,3269,3771,3457
2005-08-19,101,2914,3643,3643,3157,3643,3339.25
2005-08-20,102,2983,3729,3729,3231,3729,3418
2005-08-21,103,2846,3557,3557,3083,3557,3260.75
2005-08-22,104,2966,3707,3707,3213,3707,3398.25
2005-08-23,105,3331,1735,4163,3608,2949,3209.25
2005-08-24,106,2924,0,3655,3167,1827.5,2436.5
2005-08-25,107,1372,0,3742,3243,1871,2089.25
2005-08-26,108,0,2050,3785,3280,2917.5,2278.75
2005-08-27,109,0,1901,3802,3295,2851.5,2249.5
2005-08-28,110,0,0,3733,3235,1866.5,1742
2005-08-29,111,0,0,3767,3265,1883.5,1758
2005-08-30,112,0,0,3733,3235,1866.5,1742
2005-08-31,113,0,0,3767,3265,1883.5,1758
2005-09-01,114,0,0,3767,3265,1883.5,1758
2005-09-02,115,0,0,3733,3235,1866.5,1742
2005-09-03,116,0,0,3802,3295,1901,1774.25
2005-09-04,117,0,0,3733,3235,1866.5,1742
2005-09-05,118,0,0,3731,3234,1865.5,1741.25
2005-09-06,119,0,0,1421,3284,710.5,1176.25
2005-09-07,120,0,0,0,3287,0,821.75
2005-09-08,121,0,0,0,3256,0,814
2005-09-09,122,0,0,0,3205,0,801.25
2005-09-10,123,0,0,0,3205,0,801.25
2005-09-11,124,0,0,0,3235,0,808.75
2005-09-12,125,0,0,0,3235,0,808.75
2005-09-13,126,0,0,0,3289,0,822.25
2005-09-14,127,0,0,0,3311,0,827.75
2005-09-15,128,0,0,0,3287,0,821.75
2005-09-16,129,0,0,0,827,0,206.75
2005-09-17,130,0,0,0,0,0,0
2005-09-18,131,0,0,0,0,0,0
2005-09-19,132,0,0,0,0,0,0
2005-09-20,133,0,0,0,2320,0,580
2005-09-21,134,0,0,0,3313,0,828.25
2005-09-22,135,0,0,0,1482,0,370.5
2005-09-23,136,0,0,0,0,0,0
2005-09-24,137,0,0,0,0,0,0
2005-09-25,138,0,0,0,0,0,0
2005-09-26,139,0,0,0,0,0,0
2005-09-27,140,0,0,0,0,0,0
2005-09-28,141,0,0,0,0,0,0
2005-09-29,142,0,0,0,0,0,0
2005-09-30,143,0,0,0,0,0,0
2005-10-01,144,0,0,0,0,0,0
2005-10-02,145,0,0,0,0,0,0
2005-10-03,146,0,0,0,0,0,0
2005-10-04,147,0,0,0,0,0,0
2005-10-05,148,0,0,0,0,0,0
2005-10-06,149,0,0,0,0,0,0
2005-10-07,150,0,0,0,0,0,0
2005-10-08,151,0,0,0,0,0,0
2005-10-09,152,0,0,0,0,0,0
2005-10-10,153,0,0,0,0,0,0
2005-10-11,154,0,1882,0,0,941,470.5
2005-10-12,155,0,3750,0,0,1875,937.5
2005-10-13,156,0,3750,0,0,1875,937.5
2005-10-14,157,0,3750,0,0,1875,937.5
2005-10-15,158,0,3750,0,0,1875,937.5
2005-10-16,159,0,3700,0,0,1850,925
2005-10-17,160,0,3700,0,0,1850,925
2005-10-18,161,0,3750,0,0,1875,937.5
2005-10-19,162,251,3770,0,0,1885,1005.25
2005-10-20,163,3162,3952,0,0,1976,1778.5
2005-10-21,164,3162,3952,0,0,1976,1778.5
2005-10-22,165,3185,3981,0,0,1990.5,1791.5
2005-10-23,166,3138,3923,0,0,1961.5,1765.25
2005-10-24,167,2600,3250,0,0,1625,1462.5
2005-10-25,168,3257,2714,2714,0,2714,2171.25
2005-10-26,169,3339,4174,4174,0,4174,2921.75
2005-10-27,170,3352,4190,4190,0,4190,2933
2005-10-28,171,3287,4109,4109,0,4109,2876.25
2005-10-29,172,3332,4165,3818,0,3991.5,2828.75
2005-10-30,173,3491,4364,0,0,2182,1963.75
2005-10-31,174,3335,4169,0,0,2084.5,1876
2005-11-01,175,3305,4131,0,0,2065.5,1859
2005-11-02,176,3278,4097,0,0,2048.5,1843.75
2005-11-03,177,3321,4151,0,0,2075.5,1868
2005-11-04,178,3315,4144,2072,1657,3108,2797
2005-11-05,179,3306,4133,4133,3306,4133,3719.5
2005-11-06,180,3281,4101,4101,3281,4101,3691
2005-11-07,181,3281,4101,4101,3281,4101,3691
2005-11-08,182,3303,3956,4129,3303,4042.5,3672.75
2005-11-09,183,3294,4117,4117,3294,4117,3705.5
2005-11-10,184,1900,3353,2375,2682,2864,2577.5
2005-11-11,185,2898,3622,3622,2898,3622,3260
2005-11-12,186,3268,4085,4085,3268,4085,3676.5
2005-11-13,187,3268,4085,4085,3268,4085,3676.5
2005-11-14,188,3255,4069,4069,3255,4069,3662
2005-11-15,189,2987,3734,3734,2987,3734,3360.5
2005-11-16,190,3255,4069,4069,3255,4069,3662
2005-11-17,191,3255,4069,4069,3255,4069,3662
2005-11-18,192,3230,4037,4037,3230,4037,3633.5
2005-11-19,193,3243,4053,4053,3243,4053,3648
2005-11-20,194,3217,4021,4021,3217,4021,3619
2005-11-21,195,3230,4037,4037,3230,4037,3633.5
2005-11-22,196,3166,3957,3957,3166,3957,3561.5
2005-11-23,197,3128,3910,3910,3128,3910,3519
2005-11-24,198,3128,3910,3910,3128,3910,3519
2005-11-25,199,3115,3894,3894,3115,3894,3504.5
2005-11-26,200,3128,3910,3910,3128,3910,3519
2005-11-27,201,3115,3894,3894,3115,3894,3504.5
2005-11-28,202,3115,3894,3894,3115,3894,3504.5
2005-11-29,203,3115,3894,3894,3115,3894,3504.5
2005-11-30,204,3102,3878,3878,3102,3878,3490
2005-12-01,205,3115,3894,3894,3115,3894,3504.5
2005-12-02,206,3089,3862,3862,3089,3862,3475.5
2005-12-03,207,3089,3862,3862,3089,3862,3475.5
2005-12-04,208,3115,3894,3894,3115,3894,3504.5
2005-12-05,209,3064,3830,3830,3064,3830,3447
2005-12-06,210,3102,3878,3878,3102,3878,3490
2005-12-07,211,3139,3924,3924,3139,3924,3531.5
2005-12-08,212,3248,677,4060,3248,2368.5,2808.25
2005-12-09,213,3175,2150,3969,3175,3059.5,3117.25
2005-12-10,214,3166,3957,3957,3166,3957,3561.5
2005-12-11,215,3140,3926,3926,3140,3926,3533
2005-12-12,216,3140,3926,3926,3140,3926,3533
2005-12-13,217,3128,3910,3910,3128,3910,3519
2005-12-14,218,3128,3910,3910,3128,3910,3519
2005-12-15,219,3128,3910,3910,3128,3910,3519
2005-12-16,220,3115,3894,3894,3115,3894,3504.5
2005-12-17,221,3102,3878,3878,3102,3878,3490
2005-12-18,222,3115,3894,3894,3115,3894,3504.5
2005-12-19,223,3089,3862,3862,3089,3862,3475.5
2005-12-20,224,3089,3862,3862,3089,3862,3475.5
2005-12-21,225,3089,3862,3862,3089,3862,3475.5
2005-12-22,226,3102,3878,3878,3102,3878,3490
2005-12-23,227,3089,3862,3862,3089,3862,3475.5
2005-12-24,228,3102,3878,3878,3102,3878,3490
2005-12-25,229,3102,3878,3878,3102,3878,3490
2005-12-26,230,3128,3910,3910,3128,3910,3519
2005-12-27,231,3115,3894,3894,3115,3894,3504.5
2005-12-28,232,3128,3910,3910,3128,3910,3519
2005-12-29,233,3128,3910,3910,3128,3910,3519
2005-12-30,234,3140,3926,3926,3140,3926,3533
2005-12-31,235,3128,3910,3910,3128,3910,3519
2006-01-01,236,3128,3910,3910,3128,3910,3519
2006-01-02,237,3140,3926,3926,3140,3926,3533
2006-01-03,238,3140,3926,3926,3140,3926,3533
2006-01-04,239,3140,3926,3926,3140,3926,3533
2006-01-05,240,3171,3964,3964,3171,3964,3567.5
2006-01-06,241,3102,3878,3878,3102,3878,3490
2006-01-07,242,3153,3941,3941,3153,3941,3547
2006-01-08,243,3153,3941,3941,3153,3941,3547
2006-01-09,244,3038,3798,3798,3038,3798,3418
2006-01-10,245,2987,3734,3734,2987,3734,3360.5
2006-01-11,246,3000,3750,3750,3000,3750,3375
2006-01-12,247,2974,3718,3718,2974,3718,3346
2006-01-13,248,3000,3750,3750,3000,3750,3375
2006-01-14,249,2987,3734,3734,2987,3734,3360.5
2006-01-15,250,3000,3750,3750,3000,3750,3375
2006-01-16,251,2987,3734,3734,2987,3734,3360.5
2006-01-17,252,2962,3702,3702,2962,3702,3332
2006-01-18,253,2974,3718,3718,2974,3718,3346
2006-01-19,254,3013,3766,3766,3013,3766,3389.5
2006-01-20,255,3026,3782,3782,3026,3782,3404
2006-01-21,256,3000,3750,3750,3000,3750,3375
2006-01-22,257,2987,3734,3734,2987,3734,3360.5
2006-01-23,258,3089,3862,3862,3089,3862,3475.5
2006-01-24,259,3140,3926,3926,3140,3926,3533
2006-01-25,260,3128,3910,3910,3128,3910,3519
2006-01-26,261,3153,3941,3941,3153,3941,3547
2006-01-27,262,3115,3894,3894,3115,3894,3504.5
2006-01-28,263,3128,3910,3910,3128,3910,3519
2006-01-29,264,3128,3910,3910,3128,3910,3519
2006-01-30,265,3128,3910,3910,3128,3910,3519
2006-01-31,266,3230,4037,4037,3230,4037,3633.5
2006-02-01,267,3026,3782,3782,3026,3782,3404
2006-02-02,268,3128,3910,3910,3128,3910,3519
2006-02-03,269,3115,3894,3894,3115,3894,3504.5
2006-02-04,270,3128,3910,3910,3128,3910,3519
2006-02-05,271,3115,3894,3894,3115,3894,3504.5
2006-02-06,272,3102,3878,3878,3102,3878,3490
2006-02-07,273,3117,1461,3897,1169,2679,2411
2006-02-08,274,3082,2408,3853,1927,3130.5,2817.5
2006-02-09,275,3128,3910,3910,3128,3910,3519
2006-02-10,276,3102,3878,3878,3102,3878,3490
2006-02-11,277,3115,3894,3894,3115,3894,3504.5
2006-02-12,278,3102,3878,3878,3102,3878,3490
2006-02-13,279,3102,3878,3878,3102,3878,3490
2006-02-14,280,3102,3878,3878,3102,3878,3490
2006-02-15,281,3079,3849,3849,3079,3849,3464
2006-02-16,282,3057,3821,3821,3057,3821,3439
2006-02-17,283,3086,3857,3857,3086,3857,3471.5
2006-02-18,284,3071,3839,3839,3071,3839,3455
2006-02-19,285,3100,3875,3875,3100,3875,3487.5
2006-02-20,286,3057,3821,3821,3057,3821,3439
2006-02-21,287,3071,3839,3839,3071,3839,3455
2006-02-22,288,3057,3821,3821,3057,3821,3439
2006-02-23,289,3059,3824,3824,3059,3824,3441.5
2006-02-24,290,3089,3862,3862,3089,3862,3475.5
2006-02-25,291,3077,3846,3846,3077,3846,3461.5
2006-02-26,292,3077,3846,3846,3077,3846,3461.5
2006-02-27,293,3051,3814,3814,3051,3814,3432.5
2006-02-28,294,3064,3830,3830,3064,3830,3447
2006-03-01,295,3064,3830,3830,3064,3830,3447
2006-03-02,296,3077,3846,3846,3077,3846,3461.5
2006-03-03,297,3051,3814,3814,3051,3814,3432.5
2006-03-04,298,3038,3798,3798,3038,3798,3418
2006-03-05,299,3051,3814,3814,3051,3814,3432.5
2006-03-06,300,3038,3798,3798,3038,3798,3418
2006-03-07,301,3038,3798,3798,3038,3798,3418
2006-03-08,302,3038,3798,3798,3038,3798,3418
2006-03-09,303,3013,3766,3766,3013,3766,3389.5
2006-03-10,304,914,3916,1142,3133,2529,2276.25
2006-03-11,305,2057,3857,2571,3086,3214,2892.75
2006-03-12,306,3038,3798,3798,3038,3798,3418
2006-03-13,307,3013,3766,3766,3013,3766,3389.5
2006-03-14,308,3026,3782,3782,3026,3782,3404
2006-03-15,309,3038,3798,3798,3038,3798,3418
2006-03-16,310,3013,3766,3766,3013,3766,3389.5
2006-03-17,311,3026,3782,3782,3026,3782,3404
2006-03-18,312,3026,3782,3782,3026,3782,3404
2006-03-19,313,3026,3782,3782,3026,3782,3404
2006-03-20,314,3026,3782,3782,3026,3782,3404
2006-03-21,315,3013,3766,3766,3013,3766,3389.5
2006-03-22,316,3013,3766,3766,3013,3766,3389.5
2006-03-23,317,3013,3766,3766,3013,3766,3389.5
2006-03-24,318,3026,3782,3782,3026,3782,3404
2006-03-25,319,3026,3782,3782,3026,3782,3404
2006-03-26,320,2885,3606,3606,2885,3606,3245.5
2006-03-27,321,3013,3766,3766,3013,3766,3389.5
2006-03-28,322,3013,3766,3766,3013,3766,3389.5
2006-03-29,323,3013,3766,3766,3013,3766,3389.5
2006-03-30,324,3000,3750,3750,3000,3750,3375
2006-03-31,325,3000,3750,3750,3000,3750,3375
2006-04-01,326,2987,3734,3734,2987,3734,3360.5
2006-04-02,327,3000,3750,3750,3000,3750,3375
2006-04-03,328,2987,3734,3734,2987,3734,3360.5
2006-04-04,329,2987,3734,3734,2987,3734,3360.5
2006-04-05,330,2983,3419,3729,2735,3574,3216.5
2006-04-06,331,2977,0,3721,0,1860.5,1674.5
2006-04-07,332,2985,2488,3731,1990,3109.5,2798.5
2006-04-08,333,3000,3750,3750,3000,3750,3375
2006-04-09,334,2987,3734,3734,2987,3734,3360.5
2006-04-10,335,2974,3718,3718,2974,3718,3346
2006-04-11,336,2987,3734,3734,2987,3734,3360.5
2006-04-12,337,2974,3718,3718,2974,3718,3346
2006-04-13,338,2974,3718,3718,2974,3718,3346
2006-04-14,339,2987,3734,3734,2987,3734,3360.5
2006-04-15,340,2974,3718,3718,2974,3718,3346
2006-04-16,341,2987,3734,3734,2987,3734,3360.5
2006-04-17,342,2974,3718,3718,2974,3718,3346
2006-04-18,343,2970,1547,3712,1237,2629.5,2366.5
2006-04-19,344,2954,0,3692,0,1846,1661.5
2006-04-20,345,2931,0,3663,0,1831.5,1648.5
2006-04-21,346,2954,0,3692,0,1846,1661.5
2006-04-22,347,2977,0,3721,0,1860.5,1674.5
2006-04-23,348,2954,0,3692,0,1846,1661.5
2006-04-24,349,2954,0,3692,0,1846,1661.5
2006-04-25,350,2960,2466,3545,863,3005.5,2458.5
2006-04-26,351,2877,3296,3596,2637,3446,3101.5
2006-04-27,352,2954,0,3692,0,1846,1661.5
2006-04-28,353,2954,0,3692,0,1846,1661.5
2006-04-29,354,2977,0,3721,0,1860.5,1674.5
2006-04-30,355,2931,0,3663,0,1831.5,1648.5
2006-05-01,356,2954,0,3692,0,1846,1661.5
2006-05-02,357,2954,0,3692,0,1846,1661.5
2006-05-03,358,2665,0,3482,0,1741,1536.75
2006-05-04,359,2931,0,3663,0,1831.5,1648.5
2006-05-05,360,2931,0,3663,0,1831.5,1648.5
2006-05-06,361,2919,0,3649,0,1824.5,1642
2006-05-07,362,2933,0,3667,0,1833.5,1650
2006-05-08,363,2815,0,3671,0,1835.5,1621.5
2006-05-09,364,2945,2607,3681,0,3144,2308.25
2006-05-10,365,2955,3694,3694,0,3694,2585.75
2006-05-11,366,2955,3694,3694,0,3694,2585.75
2006-05-12,367,2904,3630,1059,0,2344.5,1898.25
2006-05-13,368,2942,2298,2451,0,2374.5,1922.75
2006-05-14,369,2954,0,3692,0,1846,1661.5
2006-05-15,370,2954,0,3692,0,1846,1661.5
2006-05-16,371,2931,0,3663,0,1831.5,1648.5
2006-05-17,372,2933,2291,3666,0,2978.5,2222.5
2006-05-18,373,2919,3649,3649,0,3649,2554.25
2006-05-19,374,2955,3694,3694,0,3694,2585.75
2006-05-20,375,2955,3694,3694,0,3694,2585.75
2006-05-21,376,2955,3694,3694,0,3694,2585.75
2006-05-22,377,2955,3694,3694,0,3694,2585.75
2006-05-23,378,2955,3694,3694,0,3694,2585.75
2006-05-24,379,2955,3694,3694,0,3694,2585.75
2006-05-25,380,2955,3694,3694,0,3694,2585.75
2006-05-26,381,2955,3694,3694,0,3694,2585.75
2006-05-27,382,2973,3716,3716,0,3716,2601.25
2006-05-28,383,2955,3694,3694,0,3694,2585.75
2006-05-29,384,2937,3672,3672,0,3672,2570.25
2006-05-30,385,2973,3716,3716,0,3716,2601.25
