# Days,SPA157 (Right side of Basin 1)
23,30.13999939
56,29.94000053
83,30.70000076
114,30.13999939
148,30.56999969
176,29.03000069
211,29.22999954
238,29
268,29.48999977
296,29.32999992
329,29.72999954
358,29.65999985
393,29.95000076
420,29.88999939
449,29.98999977
482,28.35000038
513,28.29999924
541,28.29000092
575,29.46999931
603,28.45000076
637,29.98999977
665,29.97999954
693,30.01000023
723,30.31999969
756,30.37999916
784,30.86000061
814,31.02000046
847,31.04000092
875,29.11000061
910,29.86000061
937,29
968,30.11000061
1001,29.38999939
1009,29.03000069
1018,28.72999954
1025,28.55999947
1029,28.48999977
1032,28.43000031
1039,28.31999969
1045,28.22999954
1053,28.07999992
1058,28.03000069
1067,28.05999947
1074,27.73999977
1078,27.67000008
1081,27.67000008
1086,27.70000076
1092,27.76000023
1109,27.90999985
1116,28.55999947
1120,29.35000038
1123,29.79000092
1130,30.21999931
1137,30.37000084
1144,30.5
1149,30.56999969
1150,30.56999969
1158,30.68000031
1165,30.43000031
1172,30.04999924
1179,29.95000076
1183,29.92000008
1186,29.92000008
1193,29.78000069
1200,29.81999969
1207,29.27000046
1211,28.87999916
1221,28.5
1228,28.45000076
1235,28.40999985
1241,28.45000076
1248,29.55999947
1255,29.95000076
1256,29.95000076
1263,30.11000061
1270,30.19000053
1274,30.03000069
1277,30.03000069
1284,29.75
1291,28.93000031
1298,28.53000069
1302,28.37999916
1303,28.37999916
1312,28.18000031
1319,28.12000084
1338,28.02000046
1350,28.21000099
1354,28.27000046
1367,28.52000046
1375,28.65999985
1382,28.61000061
1389,28.76000023
1393,28.62000084
1401,28.35000038
1410,28.29000092
1417,28.21000099
1423,28.14999962
1430,28.07999992
1438,28
1439,27.98999977
1440,27.98999977
1441,27.97999954
1442,28
1443,28.22999954
1444,28.48999977
1445,28.71999931
1446,28.89999962
1447,29.04000092
1448,29.17000008
1449,29.27000046
1450,29.36000061
1451,29.44000053
1452,29.52000046
1453,29.57999992
1454,29.64999962
1455,29.70000076
1456,29.72999954
1457,29.79000092
1458,29.85000038
1459,29.86000061
1460,29.87000084
1461,29.89999962
1462,29.94000053
1463,29.95999908
1464,29.97999954
1465,30
1466,30.02000046
1467,30.03000069
1468,30.04999924
1469,30.05999947
1470,30.09000015
1471,30.10000038
1472,30.12999916
1473,30.12999916
1474,30.12999916
1475,30.13999939
1476,30.12999916
1484,30.09000015
1485,30.08500004
1486,30.09000015
1487,30.11000061
1488,30.11000061
1489,30.13999939
1490,30.14999962
1491,30.15999985
1492,30.15999985
1493,30.17000008
1494,30.17000008
1495,30.17000008
1496,30.18000031
1497,30.18000031
1505,30.23999977
1506,30.25
1507,30.26000023
1508,30.28000069
1509,30.29000092
1510,30.30999947
1511,30.32999992
1512,30.30999947
1513,30.34000015
