# Days,SPA165 (near well)
23,29.64999962
56,29.88000107
83,30.13000107
114,29.38000107
148,30.5
176,28.97999954
211,27.22999954
238,27.38999939
268,27.94000053
296,28.01000023
329,28.03000069
358,28.64999962
393,28.63000107
420,28.47999954
449,28.76000023
482,27.85000038
513,27.80999947
541,27.44000053
575,28.02000046
603,27.96999931
637,28.55999947
665,28.89999962
693,28.80999947
723,29.34000015
756,29.31999969
784,30.17000008
814,30.46999931
847,30.48999977
875,27.67000008
910,28.48999977
937,27.05999947
968,28.80999947
1001,27.81999969
1029,27.13000107
1058,26.25
1092,26.62000084
1120,29.23999977
1149,29.64999962
1183,28.32999992
1211,27.84000015
1241,27.81999969
1274,28.64999962
1302,26.93000031
1338,27.5
1367,29.35000038
1393,28.13000107
1423,27.20000076
1438,26.96000099
1439,27.01000023
1440,27.05999947
1441,27.10000038
1442,27.17000008
1443,27.32999992
1444,27.5
1445,27.65999985
1446,27.80999947
1447,27.93000031
1448,28.03000069
1449,28.11000061
1450,28.18000031
1451,28.25
1452,28.30999947
1453,28.38000107
1454,28.45000076
1455,28.51000023
1456,28.58500004
1457,28.64999962
1458,28.90999985
1459,29.03000069
1460,28.88999939
1461,28.90999985
1462,28.96000099
1463,28.95000076
1464,28.95000076
1465,28.98999977
1466,29.01000023
1467,28.92000008
1468,28.92000008
1469,28.90999985
1470,28.96000099
1471,29.07999992
1472,29.29999924
1473,29.12000084
1474,29.12000084
1475,29.13999939
1476,29.13999939
1484,29.14999962
1485,29.15999985
1486,29.15999985
1487,29.17000008
1488,29.18000031
1489,29.20000076
1490,29.21000099
1491,29.19000053
1492,29.14999962
1493,29.11000061
1494,29.10000038
1495,29.09000015
1496,29.07999992
1497,29.06999969
1505,29.13999939
1506,29.18000031
1507,29.21000099
1508,29.26000023
1509,29.29999924
1510,29.34000015
1511,29.37000084
1512,29.37000084
1513,29.59000015
1514,29.44000053
1515,29.44000053
1516,29.45000076
1517,29.65999985
1518,29.71000099
1519,29.72999954
1520,29.51000023
1521,29.48999977
1522,29.51000023
1523,29.38000107
1524,29.14999962
1525,28.88000107
1526,28.65999985
1527,28.45000076
1528,28.30999947
1529,28.17000008
1530,28.06999969
1531,27.97999954
1532,27.87000084
1533,27.79000092
1534,27.97999954
1535,28
1536,27.86000061
1537,27.86000061
1538,27.84000015
1539,27.87000084
1540,27.84000015
1541,27.86000061
1542,27.81999969
1543,27.79999924
1544,27.80999947
1545,27.79000092
1546,27.78000069
1547,28.35000038
1548,27.85000038
1549,27.76000023
1550,27.70000076
1551,27.65999985
1552,27.62000084
1553,27.59000015
1554,27.56999969
1555,27.55999947
1556,27.67000008
1557,27.76000023
1558,27.82999992
1559,27.89999962
1560,27.81999969
1561,27.70000076
1562,27.57999992
1563,27.71000099
1564,27.69000053
1565,27.65999985
1566,27.67000008
1567,27.67000008
1568,27.63999939
1569,27.62000084
1570,27.42000008
1571,27.34000015
1572,27.28000069
1573,27.31999969
1574,27.37000084
1575,27.38000107
1576,27.37000084
1577,27.38999939
1578,27.38999939
1579,27.38000107
1580,27.38000107
1581,27.37000084
1582,27.29000092
1583,27.17000008
1584,27.10000038
1585,27.06999969
1586,27.04999924
1587,27.03000069
1588,27.02000046
1589,27.46000099
1590,27.59000015
1591,27.44000053
1592,27.40999985
1593,27.29000092
1594,27.26000023
1595,27.21999931
1596,27.11000061
1597,27.01000023
1598,26.88999939
1599,26.79999924
