# Days,SPA168 (Left side of Basin1)
23,29.65999985
56,29.85000038
83,30.11000061
114,29.43000031
148,30.40999985
176,28.76000023
211,27.63999939
238,27.68000031
268,28.22999954
296,28.05999947
329,28.06999969
358,28.81999969
393,28.97999954
420,28.78999901
449,29.12999916
482,27.80999947
513,27.71999931
541,27.82999992
575,28.28999901
603,27.97999954
637,28.85000038
665,29.04999924
693,29.03000069
723,29.45000076
756,29.45000076
784,30.20000076
814,30.51000023
847,30.44000053
875,27.72999954
910,28.75
937,27.30999947
968,29.04999924
1001,27.89999962
1029,27.20000076
1058,26.42000008
1092,26.76000023
1120,29.25
1149,29.73999977
1183,28.59000015
1211,27.78999901
1241,27.89999962
1274,28.82999992
1302,27
1338,27.42000008
1367,29.01000023
1393,28.02000046
1423,27.17000008
1456,28.84000015
1485,29.20999908
1514,29.45000076
1547,28.46999931
1576,27.28000069
1610,27.79999924
1638,26.57999992
1666,26.72999954
1701,26.79999924
1729,27.36000061
1756,27.70999908
1778,26.60000038
1779,26.52000046
1780,26.45999908
1781,26.37999916
1782,26.27000046
1783,26.28999901
1784,26.21999931
1785,26.22999954
1786,26.20000076
1787,26.09000015
1788,26.15999985
1789,26.04999924
1790,26.10000038
1791,26.05999947
1792,26
1793,26.04999924
1794,25.96999931
1795,25.97999954
1796,26.02000046
1797,25.93000031
1798,25.92000008
1799,25.94000053
1800,25.85000038
1801,25.84000015
1802,25.80999947
1803,25.78000069
1804,25.76000023
1805,25.70000076
1806,25.81999969
1807,26.09000015
1808,26.13999939
1809,26.28000069
1810,26.39999962
1811,26.5
1812,26.60000038
1813,26.68000031
1814,26.75
1815,26.80999947
1816,26.86000061
1817,27.03000069
1818,27.10000038
1819,27.14999962
1820,27.21999931
1821,27.37000084
1822,27.43000031
1823,27.38999939
1824,27.44000053
1825,27.5
1826,27.53000069
1827,27.75
1828,27.84000015
1829,27.68000031
1830,27.69000053
1831,27.69000053
1832,27.72999954
1833,27.77000046
1834,27.77000046
1835,27.78999901
1836,27.85000038
1837,27.79999924
1838,27.71999931
1839,27.62000084
1840,27.30999947
1841,27.15999985
1842,27.04999924
1843,26.98999977
1844,26.94000053
1845,26.92000008
1846,26.88999939
1847,26.87999916
1848,26.87999916
